d_int,d_est,lunghezza,peso_uni,ascissa,ordinata,composizione_fascio,num_pezzi_strato,forma_fascio,uuid,altezza_max,rotazione
51.88,106.0,520.0,0.7,1008,892,3-4-3,110,esagono,6c61e5a97e274ab08a7f48f384f56964r4qL74g74NO6jRZZgmFcvpCSuJ4urYWA,290.016,90
51.88,106.0,520.0,0.7,715,892,3-4-3,110,esagono,6c61e5a97e274ab08a7f48f384f56964r4qL74g74NO6jRZZgmFcvpCSuJ4urYWA,290.016,90
51.88,106.0,520.0,0.7,422,892,3-4-3,110,esagono,6c61e5a97e274ab08a7f48f384f56964r4qL74g74NO6jRZZgmFcvpCSuJ4urYWA,290.016,90
51.88,106.0,520.0,0.7,129,892,3-4-3,110,esagono,6c61e5a97e274ab08a7f48f384f56964r4qL74g74NO6jRZZgmFcvpCSuJ4urYWA,290.016,90
51.88,106.0,520.0,0.7,861,532,3-4-3,110,esagono,6c61e5a97e274ab08a7f48f384f56964r4qL74g74NO6jRZZgmFcvpCSuJ4urYWA,290.016,90
51.88,106.0,520.0,0.7,568,532,3-4-3,110,esagono,6c61e5a97e274ab08a7f48f384f56964r4qL74g74NO6jRZZgmFcvpCSuJ4urYWA,290.016,90
51.88,106.0,520.0,0.7,275,532,3-4-3,110,esagono,6c61e5a97e274ab08a7f48f384f56964r4qL74g74NO6jRZZgmFcvpCSuJ4urYWA,290.016,90
51.88,106.0,520.0,0.7,1008,171,3-4-3,110,esagono,6c61e5a97e274ab08a7f48f384f56964r4qL74g74NO6jRZZgmFcvpCSuJ4urYWA,290.016,90
51.88,106.0,520.0,0.7,715,171,3-4-3,110,esagono,6c61e5a97e274ab08a7f48f384f56964r4qL74g74NO6jRZZgmFcvpCSuJ4urYWA,290.016,90
51.88,106.0,520.0,0.7,422,171,3-4-3,110,esagono,6c61e5a97e274ab08a7f48f384f56964r4qL74g74NO6jRZZgmFcvpCSuJ4urYWA,290.016,90
51.88,106.0,520.0,0.7,129,171,3-4-3,110,esagono,6c61e5a97e274ab08a7f48f384f56964r4qL74g74NO6jRZZgmFcvpCSuJ4urYWA,290.016,90
