d_int,d_est,lunghezza,peso_uni,ascissa,ordinata,composizione_fascio,num_pezzi_strato,forma_fascio,uuid,altezza_max,rotazione
51.88,106.0,520.0,0.7,901,991,4-3,105,trapezio,db8c1edc0c7a4834ae827cf16bc6a6394pWATayXdPHZtvAhQNUIW4tEPpDZVl27,197.319,180
51.88,106.0,520.0,0.7,700,991,4-3,105,trapezio,db8c1edc0c7a4834ae827cf16bc6a6394pWATayXdPHZtvAhQNUIW4tEPpDZVl27,197.319,180
51.88,106.0,520.0,0.7,500,991,4-3,105,trapezio,db8c1edc0c7a4834ae827cf16bc6a6394pWATayXdPHZtvAhQNUIW4tEPpDZVl27,197.319,180
51.88,106.0,520.0,0.7,300,991,4-3,105,trapezio,db8c1edc0c7a4834ae827cf16bc6a6394pWATayXdPHZtvAhQNUIW4tEPpDZVl27,197.319,180
51.88,106.0,520.0,0.7,99,991,4-3,105,trapezio,db8c1edc0c7a4834ae827cf16bc6a6394pWATayXdPHZtvAhQNUIW4tEPpDZVl27,197.319,180
51.88,106.0,520.0,0.7,901,600,4-3,105,trapezio,db8c1edc0c7a4834ae827cf16bc6a6394pWATayXdPHZtvAhQNUIW4tEPpDZVl27,197.319,0
51.88,106.0,520.0,0.7,700,600,4-3,105,trapezio,db8c1edc0c7a4834ae827cf16bc6a6394pWATayXdPHZtvAhQNUIW4tEPpDZVl27,197.319,0
51.88,106.0,520.0,0.7,500,600,4-3,105,trapezio,db8c1edc0c7a4834ae827cf16bc6a6394pWATayXdPHZtvAhQNUIW4tEPpDZVl27,197.319,0
51.88,106.0,520.0,0.7,300,600,4-3,105,trapezio,db8c1edc0c7a4834ae827cf16bc6a6394pWATayXdPHZtvAhQNUIW4tEPpDZVl27,197.319,0
51.88,106.0,520.0,0.7,99,600,4-3,105,trapezio,db8c1edc0c7a4834ae827cf16bc6a6394pWATayXdPHZtvAhQNUIW4tEPpDZVl27,197.319,0
51.88,106.0,520.0,0.7,901,209,4-3,105,trapezio,db8c1edc0c7a4834ae827cf16bc6a6394pWATayXdPHZtvAhQNUIW4tEPpDZVl27,197.319,180
51.88,106.0,520.0,0.7,700,209,4-3,105,trapezio,db8c1edc0c7a4834ae827cf16bc6a6394pWATayXdPHZtvAhQNUIW4tEPpDZVl27,197.319,180
51.88,106.0,520.0,0.7,500,209,4-3,105,trapezio,db8c1edc0c7a4834ae827cf16bc6a6394pWATayXdPHZtvAhQNUIW4tEPpDZVl27,197.319,180
51.88,106.0,520.0,0.7,300,209,4-3,105,trapezio,db8c1edc0c7a4834ae827cf16bc6a6394pWATayXdPHZtvAhQNUIW4tEPpDZVl27,197.319,180
51.88,106.0,520.0,0.7,99,209,4-3,105,trapezio,db8c1edc0c7a4834ae827cf16bc6a6394pWATayXdPHZtvAhQNUIW4tEPpDZVl27,197.319,180
