d_int,d_est,lunghezza,peso_uni,ascissa,ordinata,composizione_fascio,num_pezzi_strato,forma_fascio,uuid,altezza_max,rotazione
51.0,58.0,500.0,0.5,882,1029,3-4-5-4,320,esagono_asimmetrico,2fc84c13317447858373b17fb186a76cegDSS72mFWoExgcZ2HH9UNjuIECT5nUf,208.684,270
51.0,58.0,500.0,0.5,399,1029,3-4-5-4,320,esagono_asimmetrico,2fc84c13317447858373b17fb186a76cegDSS72mFWoExgcZ2HH9UNjuIECT5nUf,208.684,270
51.0,58.0,500.0,0.5,641,977,3-4-5-4,320,esagono_asimmetrico,2fc84c13317447858373b17fb186a76cegDSS72mFWoExgcZ2HH9UNjuIECT5nUf,208.684,90
51.0,58.0,500.0,0.5,158,977,3-4-5-4,320,esagono_asimmetrico,2fc84c13317447858373b17fb186a76cegDSS72mFWoExgcZ2HH9UNjuIECT5nUf,208.684,90
51.0,58.0,500.0,0.5,882,818,3-4-5-4,320,esagono_asimmetrico,2fc84c13317447858373b17fb186a76cegDSS72mFWoExgcZ2HH9UNjuIECT5nUf,208.684,270
51.0,58.0,500.0,0.5,399,818,3-4-5-4,320,esagono_asimmetrico,2fc84c13317447858373b17fb186a76cegDSS72mFWoExgcZ2HH9UNjuIECT5nUf,208.684,270
51.0,58.0,500.0,0.5,641,766,3-4-5-4,320,esagono_asimmetrico,2fc84c13317447858373b17fb186a76cegDSS72mFWoExgcZ2HH9UNjuIECT5nUf,208.684,90
51.0,58.0,500.0,0.5,158,766,3-4-5-4,320,esagono_asimmetrico,2fc84c13317447858373b17fb186a76cegDSS72mFWoExgcZ2HH9UNjuIECT5nUf,208.684,90
51.0,58.0,500.0,0.5,882,606,3-4-5-4,320,esagono_asimmetrico,2fc84c13317447858373b17fb186a76cegDSS72mFWoExgcZ2HH9UNjuIECT5nUf,208.684,270
51.0,58.0,500.0,0.5,399,606,3-4-5-4,320,esagono_asimmetrico,2fc84c13317447858373b17fb186a76cegDSS72mFWoExgcZ2HH9UNjuIECT5nUf,208.684,270
51.0,58.0,500.0,0.5,641,554,3-4-5-4,320,esagono_asimmetrico,2fc84c13317447858373b17fb186a76cegDSS72mFWoExgcZ2HH9UNjuIECT5nUf,208.684,90
51.0,58.0,500.0,0.5,158,554,3-4-5-4,320,esagono_asimmetrico,2fc84c13317447858373b17fb186a76cegDSS72mFWoExgcZ2HH9UNjuIECT5nUf,208.684,90
51.0,58.0,500.0,0.5,882,394,3-4-5-4,320,esagono_asimmetrico,2fc84c13317447858373b17fb186a76cegDSS72mFWoExgcZ2HH9UNjuIECT5nUf,208.684,270
51.0,58.0,500.0,0.5,399,394,3-4-5-4,320,esagono_asimmetrico,2fc84c13317447858373b17fb186a76cegDSS72mFWoExgcZ2HH9UNjuIECT5nUf,208.684,270
51.0,58.0,500.0,0.5,641,342,3-4-5-4,320,esagono_asimmetrico,2fc84c13317447858373b17fb186a76cegDSS72mFWoExgcZ2HH9UNjuIECT5nUf,208.684,90
51.0,58.0,500.0,0.5,158,342,3-4-5-4,320,esagono_asimmetrico,2fc84c13317447858373b17fb186a76cegDSS72mFWoExgcZ2HH9UNjuIECT5nUf,208.684,90
51.0,58.0,500.0,0.5,882,183,3-4-5-4,320,esagono_asimmetrico,2fc84c13317447858373b17fb186a76cegDSS72mFWoExgcZ2HH9UNjuIECT5nUf,208.684,270
51.0,58.0,500.0,0.5,399,183,3-4-5-4,320,esagono_asimmetrico,2fc84c13317447858373b17fb186a76cegDSS72mFWoExgcZ2HH9UNjuIECT5nUf,208.684,270
51.0,58.0,500.0,0.5,641,131,3-4-5-4,320,esagono_asimmetrico,2fc84c13317447858373b17fb186a76cegDSS72mFWoExgcZ2HH9UNjuIECT5nUf,208.684,90
51.0,58.0,500.0,0.5,158,131,3-4-5-4,320,esagono_asimmetrico,2fc84c13317447858373b17fb186a76cegDSS72mFWoExgcZ2HH9UNjuIECT5nUf,208.684,90
