d_int,d_est,lunghezza,peso_uni,gruppo,pz_fascio,compo_fascio
100,104,1150,0.5750,2,21,11-Oct
100,104,330,0.1650,2,10,4/3/2003
100,104,520,0.2600,2,42,(11-10)x2
100,107,450,0.4000,2,10,4/3/2003
110,130,395,"17,000",2,,
120,124,120,0.0750,2,,
120,124,150,0.0940,2,,
120,128,185,0.2300,2,,
120,128,220,0.3000,2,,
120,128,265,0.3270,2,,
120,130,120,0.2000,2,,
120,130,200,0.3300,2,,
120,130,250,0.4300,2,,
120,140,200,0.6510,2,,
120,140,340,"10,830",2,,
26,30,250,0.0360,4,51,6-7-8-9-8-7-6
26,30,300,0.0370,4,51,6-7-8-9-8-7-6
26,30,350,0.0500,4,51,6-7-8-9-8-7-6
26,30,400,0.0550,4,51,6-7-8-9-8-7-6
26,30,500,0.0690,4,51,6-7-8-9-8-7-6
26,30,700,0.0970,4,51,6-7-8-9-8-7-6
30,33,127,0.0150,4,51,6-7-8-9-8-7-6
30,33,230,0.0270,4,51,6-7-8-9-8-7-6
30,33,290,0.0370,4,51,6-7-8-9-8-7-6
30,33,300,0.0380,4,51,6-7-8-9-8-7-6
30,33,350,0.0410,4,51,6-7-8-9-8-7-6
30,34,100,0.0160,4,51,6-7-8-9-8-7-6
30,34,220,0.0340,4,51,6-7-8-9-8-7-6
30,34,225,0.0350,4,51,6-7-8-9-8-7-6
30,34,250,0.0390,4,51,6-7-8-9-8-7-6
30,34,300,0.0460,4,51,6-7-8-9-8-7-6
30,35,220,0.0440,4,51,6-7-8-9-8-7-6
30,35,250,0.0500,4,51,6-7-8-9-8-7-6
30,35,300,0.0570,4,51,6-7-8-9-8-7-6
30,35,350,0.0600,4,51,6-7-8-9-8-7-6
30,35,500,0.1000,4,51,6-7-8-9-8-7-6
30,36,170,0.0410,4,51,6-7-8-9-8-7-6
30,36,210,0.0510,4,51,6-7-8-9-8-7-6
30,36,220,0.0580,4,51,6-7-8-9-8-7-6
30,36,250,0.0680,4,51,6-7-8-9-8-7-6
30,36,270,0.0735,4,51,6-7-8-9-8-7-6
30,36,300,0.0790,4,51,6-7-8-9-8-7-6
30,36,350,0.0930,4,51,6-7-8-9-8-7-6
30,37,350,0.1000,4,51,6-7-8-9-8-7-6
33,35,720,0.0720,4,51,6-7-8-9-8-7-6
33,36,220,0.0280,4,51,6-7-8-9-8-7-6
33,36,222,0.0280,4,51,6-7-8-9-8-7-6
33,37,225,0.0390,4,51,6-7-8-9-8-7-6
33,38,210,0.0400,4,51,6-7-8-9-8-7-6
33,38,220,0.0740,4,51,6-7-8-9-8-7-6
33,38,280,0.0740,4,51,6-7-8-9-8-7-6
33,38,300,0.0640,4,51,6-7-8-9-8-7-6
33,38,340,0.0760,4,51,6-7-8-9-8-7-6
33,40,500,0.1560,4,44,5-6-7-8-7-6-5
33,42,330,0.1360,4,44,5-6-7-8-7-6-5
33,44,126,0.0650,4,44,5-6-7-8-7-6-5
33,44,332,0.1720,4,44,5-6-7-8-7-6-5
33,44,356,0.1860,4,44,5-6-7-8-7-6-5
33,44,480,0.2490,4,44,5-6-7-8-7-6-5
38,44,593,0.2000,4,44,5-6-7-8-7-6-5
38,46,593,0.2800,4,44,5-6-7-8-7-6-5
38,49,520,0.3050,4,44,5-6-7-8-7-6-5
38,50,330,0.2000,4,44,5-6-7-8-7-6-5
38,50,420,0.2800,4,44,5-6-7-8-7-6-5
38,50,650,0.4350,4,44,5-6-7-8-7-6-5
39,47,210,0.0890,4,44,5-6-7-8-7-6-5
