d_int,d_est,lunghezza,peso_uni,gruppo,pz_fascio,compo_fascio
100.0,104.0,330,0.1650,2,10.0,3-4-3
100.0,107.0,450,0.4000,2,10.0,3-4-3
26.0,30.0,250,0.0360,4,51.0,6-7-8-9-8-7-6
26.0,30.0,300,0.0370,4,51.0,6-7-8-9-8-7-6
26.0,30.0,350,0.0500,4,51.0,6-7-8-9-8-7-6
26.0,30.0,400,0.0550,4,51.0,6-7-8-9-8-7-6
26.0,30.0,500,0.0690,4,51.0,6-7-8-9-8-7-6
26.0,30.0,700,0.0970,4,51.0,6-7-8-9-8-7-6
30.0,33.0,127,0.0150,4,51.0,6-7-8-9-8-7-6
30.0,33.0,230,0.0270,4,51.0,6-7-8-9-8-7-6
30.0,33.0,290,0.0370,4,51.0,6-7-8-9-8-7-6
30.0,33.0,300,0.0380,4,51.0,6-7-8-9-8-7-6
30.0,33.0,350,0.0410,4,51.0,6-7-8-9-8-7-6
30.0,34.0,100,0.0160,4,51.0,6-7-8-9-8-7-6
30.0,34.0,220,0.0340,4,51.0,6-7-8-9-8-7-6
30.0,34.0,225,0.0350,4,51.0,6-7-8-9-8-7-6
30.0,34.0,250,0.0390,4,51.0,6-7-8-9-8-7-6
30.0,34.0,300,0.0460,4,51.0,6-7-8-9-8-7-6
30.0,35.0,220,0.0440,4,51.0,6-7-8-9-8-7-6
30.0,35.0,250,0.0500,4,51.0,6-7-8-9-8-7-6
30.0,35.0,300,0.0570,4,51.0,6-7-8-9-8-7-6
30.0,35.0,350,0.0600,4,51.0,6-7-8-9-8-7-6
30.0,35.0,500,0.1000,4,51.0,6-7-8-9-8-7-6
30.0,36.0,170,0.0410,4,51.0,6-7-8-9-8-7-6
30.0,36.0,210,0.0510,4,51.0,6-7-8-9-8-7-6
30.0,36.0,220,0.0580,4,51.0,6-7-8-9-8-7-6
30.0,36.0,250,0.0680,4,51.0,6-7-8-9-8-7-6
30.0,36.0,270,0.0735,4,51.0,6-7-8-9-8-7-6
30.0,36.0,300,0.0790,4,51.0,6-7-8-9-8-7-6
30.0,36.0,350,0.0930,4,51.0,6-7-8-9-8-7-6
30.0,37.0,350,0.1000,4,51.0,6-7-8-9-8-7-6
33.0,36.0,220,0.0280,4,51.0,6-7-8-9-8-7-6
33.0,36.0,222,0.0280,4,51.0,6-7-8-9-8-7-6
33.0,37.0,225,0.0390,4,51.0,6-7-8-9-8-7-6
33.0,38.0,210,0.0400,4,51.0,6-7-8-9-8-7-6
33.0,38.0,220,0.0740,4,51.0,6-7-8-9-8-7-6
33.0,38.0,280,0.0740,4,51.0,6-7-8-9-8-7-6
33.0,38.0,300,0.0640,4,51.0,6-7-8-9-8-7-6
33.0,38.0,340,0.0760,4,51.0,6-7-8-9-8-7-6
33.0,40.0,500,0.1560,4,44.0,5-6-7-8-7-6-5
33.0,42.0,330,0.1360,4,44.0,5-6-7-8-7-6-5
33.0,44.0,126,0.0650,4,44.0,5-6-7-8-7-6-5
33.0,44.0,332,0.1720,4,44.0,5-6-7-8-7-6-5
33.0,44.0,356,0.1860,4,44.0,5-6-7-8-7-6-5
33.0,44.0,480,0.2490,4,44.0,5-6-7-8-7-6-5
38.0,44.0,593,0.2000,4,44.0,5-6-7-8-7-6-5
38.0,46.0,593,0.2800,4,44.0,5-6-7-8-7-6-5
38.0,49.0,520,0.3050,4,44.0,5-6-7-8-7-6-5
38.0,50.0,330,0.2000,4,44.0,5-6-7-8-7-6-5
38.0,50.0,420,0.2800,4,44.0,5-6-7-8-7-6-5
38.0,50.0,650,0.4350,4,44.0,5-6-7-8-7-6-5
39.0,47.0,210,0.0890,4,44.0,5-6-7-8-7-6-5
39.0,47.0,265,0.1120,4,44.0,5-6-7-8-7-6-5
40.0,43.0,380,0.0580,4,44.0,5-6-7-8-7-6-5
41.0,45.0,350,0.0810,4,44.0,5-6-7-8-7-6-5
41.0,45.0,500,0.1050,4,44.0,5-6-7-8-7-6-5
45.0,49.0,140,0.0320,4,44.0,5-6-7-8-7-6-5
45.0,49.0,185,0.0430,4,24.0,4-5-6-5-4
45.0,50.0,500,0.1000,4,24.0,4-5-6-5-4
50.0,53.0,150,0.0230,4,24.0,4-5-6-5-4
50.0,56.0,360,0.1320,4,24.0,4-5-6-5-4
50.0,56.0,400,0.1670,4,24.0,4-5-6-5-4
50.0,56.0,500,0.2130,4,24.0,4-5-6-5-4
50.0,57.0,460,0.2100,4,24.0,4-5-6-5-4
50.0,58.0,250,0.1370,4,24.0,4-5-6-5-4
50.0,58.0,300,0.1700,4,24.0,4-5-6-5-4
50.0,58.0,350,0.1850,4,24.0,4-5-6-5-4
50.0,58.0,400,0.2120,4,24.0,4-5-6-5-4
50.0,60.0,250,0.1680,4,24.0,4-5-6-5-4
50.0,60.0,300,0.2230,4,24.0,4-5-6-5-4
50.0,60.0,350,0.2360,4,24.0,4-5-6-5-4
50.0,60.0,400,0.2980,4,24.0,4-5-6-5-4
50.0,60.0,410,0.2700,4,24.0,4-5-6-5-4
50.0,60.0,460,0.3000,4,24.0,4-5-6-5-4
50.0,60.0,500,0.3370,4,24.0,4-5-6-5-4
50.0,60.0,520,0.3500,4,24.0,4-5-6-5-4
50.0,60.0,600,0.4040,4,24.0,4-5-6-5-4
51.0,61.0,520,0.340,4,24.0,4-5-6-5-4
50.0,64.0,150,0.1470,4,24.0,4-5-6-5-4
50.0,64.0,260,0.2860,4,24.0,4-5-6-5-4
50.0,64.0,300,0.3300,4,24.0,4-5-6-5-4
50.0,64.0,330,0.3300,4,24.0,4-5-6-5-4
50.0,64.0,340,0.3740,4,24.0,4-5-6-5-4
50.0,64.0,400,0.3910,4,24.0,4-5-6-5-4
50.0,64.0,500,0.5000,4,24.0,4-5-6-5-4
51.0,55.0,330,0.1020,4,24.0,4-5-6-5-4
51.0,55.0,350,0.0900,4,24.0,4-5-6-5-4
51.0,55.0,450,0.1160,4,24.0,4-5-6-5-4
51.0,55.0,650,0.1680,4,24.0,4-5-6-5-4
51.0,59.0,420,0.2260,4,24.0,4-5-6-5-4
51.0,59.0,470,0.2800,4,24.0,4-5-6-5-4
51.0,59.0,500,0.2690,4,24.0,4-5-6-5-4
51.0,59.0,610,0.3300,4,24.0,4-5-6-5-4
51.0,59.0,625,0.3400,4,24.0,4-5-6-5-4
51.0,60.0,500,0.3060,4,24.0,4-5-6-5-4
51.0,61.0,471,0.3400,4,24.0,4-5-6-5-4
51.0,61.0,520,0.3550,4,24.0,4-5-6-5-4
51.0,63.0,250,0.2090,4,24.0,4-5-6-5-4
51.0,63.0,300,0.2510,4,24.0,4-5-6-5-4
51.0,63.0,400,0.3350,4,24.0,4-5-6-5-4
51.0,63.0,500,0.4190,4,24.0,4-5-6-5-4
51.0,63.0,520,0.4360,4,24.0,4-5-6-5-4
51.0,63.0,550,0.4610,4,24.0,4-5-6-5-4
51.0,63.0,600,0.5030,4,24.0,4-5-6-5-4
51.0,64.0,470,0.4400,4,24.0,4-5-6-5-4
60.0,64.0,350,0.1100,4,24.0,4-5-6-5-4
60.0,64.0,530,0.1610,4,24.0,4-5-6-5-4
60.0,65.0,500,0.1910,4,24.0,4-5-6-5-4
70.0,74.0,240,0.0540,2,10.0,3-4-3
70.0,90.0,210,0.4380,2,10.0,3-4-3
70.0,90.0,250,0.4900,2,10.0,3-4-3
70.0,90.0,255,0.5320,2,10.0,3-4-3
71.0,75.0,300,0.1070,2,10.0,3-4-3
51.0,71.0,520,0.7500,4,24.0,4-5-6-5-4
50,71,520,0.9000,2,16,3-4-5-4
30,36.5,520,0.9000,2,16,3-4-5-4
71.0,76.0,300,0.1210,2,10.0,3-4-3
71.0,91.0,400,0.8000,2,10.0,3-4-3
76.0,100.0,465,"12,030",2,10.0,3-4-3
76.0,105.0,400,"12,850",2,10.0,3-4-3
76.0,80.0,470,0.1800,2,10.0,3-4-3
77.0,100.0,377,0.9400,2,10.0,3-4-3
77.0,106.0,190,0.6400,2,10.0,3-4-3
77.0,106.0,200,0.6750,2,10.0,3-4-3
77.0,106.0,210,0.6820,2,10.0,3-4-3
77.0,106.0,215,0.6980,2,10.0,3-4-3
77.0,106.0,222,0.7100,2,10.0,3-4-3
77.0,106.0,230,0.7470,2,10.0,3-4-3
77.0,106.0,245,0.7960,2,10.0,3-4-3
77.0,106.0,250,0.8580,2,10.0,3-4-3
77.0,106.0,253,0.8220,2,10.0,3-4-3
77.0,106.0,260,0.8850,2,10.0,3-4-3
77.0,106.0,270,0.8770,2,10.0,3-4-3
77.0,106.0,280,0.9450,2,10.0,3-4-3
77.0,106.0,293,"10,100",2,10.0,3-4-3
77.0,106.0,300,0.9750,2,10.0,3-4-3
77.0,106.0,310,"10,070",2,10.0,3-4-3
77.0,106.0,320,"10,400",2,10.0,3-4-3
77.0,106.0,330,"10,720",2,10.0,3-4-3
77.0,106.0,340,"11,050",2,10.0,3-4-3
77.0,106.0,345,"11,100",2,10.0,3-4-3
77.0,106.0,350,"11,850",2,10.0,3-4-3
77.0,106.0,360,"11,700",2,10.0,3-4-3
77.0,106.0,365,"11,860",2,10.0,3-4-3
77.0,106.0,370,"12,020",2,10.0,3-4-3
77.0,106.0,375,"12,190",2,10.0,3-4-3
77.0,106.0,380,"12,350",2,10.0,3-4-3
77.0,106.0,390,"12,670",2,10.0,3-4-3
77.0,106.0,400,"13,000",2,10.0,3-4-3
77.0,106.0,410,"13,320",2,10.0,3-4-3
77.0,106.0,420,"14,520",2,10.0,3-4-3
77.0,106.0,425,"14,690",2,10.0,3-4-3
77.0,106.0,430,"13,970",2,10.0,3-4-3
77.0,106.0,440,"14,300",2,10.0,3-4-3
77.0,106.0,443,"15,450",2,10.0,3-4-3
77.0,106.0,450,"15,460",2,10.0,3-4-3
77.0,106.0,460,"14,950",2,10.0,3-4-3
77.0,106.0,470,"15,270",2,10.0,3-4-3
77.0,106.0,480,"15,600",2,10.0,3-4-3
77.0,106.0,485,"15,600",2,10.0,3-4-3
77.0,106.0,490,"15,770",2,10.0,3-4-3
77.0,110.0,485,"18,330",2,10.0,3-4-3
77.0,83.0,500,0.2940,2,10.0,3-4-3
77.0,87.0,465,0.5000,2,10.0,3-4-3
77.0,89.0,250,0.3050,2,10.0,3-4-3
77.0,89.0,300,0.3660,2,10.0,3-4-3
77.0,89.0,350,0.4270,2,10.0,3-4-3
77.0,89.0,400,0.4880,2,10.0,3-4-3
77.0,89.0,450,0.5490,2,10.0,3-4-3
77.0,89.0,480,0.5860,2,10.0,3-4-3
77.0,89.0,500,0.6100,2,10.0,3-4-3
77.0,89.0,530,0.6470,2,10.0,3-4-3
77.0,89.0,550,0.6710,2,10.0,3-4-3
77.0,89.0,600,0.7320,2,10.0,3-4-3
77.0,89.0,650,0.7930,2,10.0,3-4-3
77.0,89.0,700,0.8540,2,10.0,3-4-3
77.0,91.0,465,0.7000,2,10.0,3-4-3
77.0,94.0,520,"10,320",2,10.0,3-4-3
77.0,95.0,390,0.7500,2,10.0,3-4-3
77.0,95.0,440,0.8500,2,10.0,3-4-3
77.0,95.0,500,0.9480,2,10.0,3-4-3
77.0,97.0,245,0.5460,2,10.0,3-4-3
77.0,97.0,380,0.8100,2,10.0,3-4-3
77.0,97.0,480,"10,700",2,10.0,3-4-3
77.0,98.0,460,"10,350",2,10.0,3-4-3
30.0,36.5,220,0.0580,4,51.0,6-7-8-9-8-7-6
30.0,36.5,230,0.0640,4,51.0,6-7-8-9-8-7-6
30.0,36.5,250,0.0680,4,51.0,6-7-8-9-8-7-6
30.0,36.5,270,0.0735,4,51.0,6-7-8-9-8-7-6
30.0,36.5,300,0.0790,4,51.0,6-7-8-9-8-7-6
30.0,36.5,350,0.0930,4,51.0,6-7-8-9-8-7-6
40.0,42.6,240,0.0340,4,44.0,5-6-7-8-7-6-5
40.0,42.6,330,0.0490,4,44.0,5-6-7-8-7-6-5
50.0,52.6,150,0.0230,4,24.0,4-5-6-5-4
50.0,52.6,370,0.0740,4,24.0,4-5-6-5-4
50.0,53.2,470,0.1000,4,24.0,4-5-6-5-4
50.0,53.2,520,0.1050,4,24.0,4-5-6-5-4
50.0,53.2,630,0.1350,4,24.0,4-5-6-5-4
50.2,60.0,210,0.1550,4,24.0,4-5-6-5-4
50.2,60.0,300,0.2230,4,24.0,4-5-6-5-4
50.2,60.0,315,0.2260,4,24.0,4-5-6-5-4
50.2,60.0,400,0.2980,4,24.0,4-5-6-5-4
76.2,100.0,420,"11,200",2,10.0,3-4-3
76.2,100.0,430,"11,470",2,10.0,3-4-3
76.3,86.3,210,0.2090,2,10.0,3-4-3
120,128,185,0.2300,2,10.0,3-4-3
120,124,185,0.2300,2,10.0
